game_index,ply,side,san,uci,top1_uci,top1_prob,top2_uci,top2_prob,top3_uci,top3_prob
5,5,W,Be2,f1e2,f1e2,0.6161616161616161,g4g7,0.010101010101010102,g4d7,0.010101010101010102
5,6,B,Nxg4,f6g4,,,,,,
5,7,W,a3,a2a3,a2a3,0.7373737373737373,e2a6,0.010101010101010102,e2b5,0.010101010101010102
5,8,B,Nxf2,g4f2,,,,,,
5,9,W,Kxf2,e1f2,e1f2,0.7373737373737373,e2c4,0.020202020202020204,e2a6,0.010101010101010102
5,10,B,d5,d7d5,,,,,,
5,11,W,Nf3,g1f3,g1f3,0.6666666666666666,f2e3,0.050505050505050504,f2g3,0.010101010101010102
5,12,B,dxe4,d5e4,,,,,,
5,13,W,d3,d2d3,d2d3,0.6666666666666666,f3g5,0.010101010101010102,f3e5,0.010101010101010102
5,14,B,exf3,e4f3,,,,,,
5,15,W,Rg1,h1g1,h1g1,0.21212121212121213,h2h3,0.1717171717171717,h1e1,0.16161616161616163
5,16,B,Bc5+,f8c5,,,,,,
5,17,W,d4,d3d4,d3d4,0.47474747474747475,f2e1,0.15151515151515152,c1e3,0.15151515151515152
5,18,B,Qxd4+,d8d4,,,,,,
5,19,W,Be3,c1e3,c1e3,0.7676767676767676,f2e1,0.21212121212121213,f2g3,0.010101010101010102
5,20,B,Qxe3+,d4e3,,,,,,
5,21,W,Kf1,f2f1,f2f1,0.6363636363636364,f2g3,0.36363636363636365,f2e1,0.0
5,22,B,Qxg1#,e3g1,,,,,,
6,1,W,e4,e2e4,e2e4,0.24242424242424243,b2b4,0.1717171717171717,b2b3,0.16161616161616163
6,2,B,e5,e7e5,,,,,,
6,3,W,Qg4,d1g4,d1g4,0.29292929292929293,d1f3,0.2727272727272727,d1h5,0.26262626262626265
6,4,B,Nf6,g8f6,,,,,,
6,5,W,Be2,f1e2,f1e2,0.6161616161616161,g4g7,0.010101010101010102,g4d7,0.010101010101010102
6,6,B,Nxg4,f6g4,,,,,,
6,7,W,Kf1,e1f1,e1f1,0.4444444444444444,e2a6,0.30303030303030304,e2b5,0.010101010101010102
6,8,B,Nxf2,g4f2,,,,,,
6,9,W,Bc4,e2c4,e2c4,0.4444444444444444,e2h5,0.25252525252525254,e2a6,0.0707070707070707
6,10,B,Qf6,d8f6,,,,,,
6,11,W,a3,a2a3,a2a3,0.3838383838383838,c4f7,0.1414141414141414,f1e1,0.08080808080808081
6,12,B,Nxh1+,f2h1,,,,,,
6,13,W,Ke2,f1e2,f1e2,0.5151515151515151,f1e1,0.47474747474747475,g1f3,0.010101010101010102
6,14,B,Qf2+,f6f2,,,,,,
6,15,W,Kd1,e2d1,e2d1,0.5151515151515151,e2d3,0.48484848484848486,,
6,16,B,Qxg1+,f2g1,,,,,,
6,17,W,Bf1,c4f1,c4f1,0.6767676767676768,d1e2,0.32323232323232326,,
6,18,B,Qxf1#,g1f1,,,,,,
7,1,W,e4,e2e4,e2e4,0.20202020202020202,b2b3,0.1919191919191919,g2g3,0.16161616161616163
7,2,B,e5,e7e5,,,,,,
7,3,W,Qf3,d1f3,d1f3,0.31313131313131315,d1g4,0.2828282828282828,d1h5,0.2727272727272727
7,4,B,Nf6,g8f6,,,,,,
7,5,W,Qd3,f3d3,f3d3,0.4444444444444444,f3c3,0.2222222222222222,f3f6,0.010101010101010102
7,6,B,Nc6,b8c6,,,,,,
7,7,W,Qf3,d3f3,d3f3,0.5454545454545454,d3e3,0.13131313131313133,d3d7,0.010101010101010102
7,8,B,d5,d7d5,,,,,,
7,9,W,Na3,b1a3,b1a3,0.6262626262626263,f3f6,0.010101010101010102,f3h5,0.010101010101010102
7,10,B,dxe4,d5e4,,,,,,
7,11,W,Qg3,f3g3,f3g3,0.6363636363636364,f3f6,0.010101010101010102,f3h5,0.010101010101010102
7,12,B,Bd6,f8d6,,,,,,
7,13,W,Bd3,f1d3,f1d3,0.6363636363636364,g3g7,0.010101010101010102,g3g6,0.010101010101010102
7,14,B,exd3,e4d3,,,,,,
